Entity,Code,Year,Oil Consumption - EJ
Africa,,1965,325.9006370558178
Africa,,1966,356.7096296707838
Africa,,1967,353.8333206142023
Africa,,1968,373.394345206715
Africa,,1969,378.53626766316086
Africa,,1970,418.4069642926481
Africa,,1971,473.04083713961427
Africa,,1972,512.7272658340456
Africa,,1973,551.4413746062523
Africa,,1974,570.029427277027
Africa,,1975,596.4245608872503
Africa,,1976,662.2096618302528
Africa,,1977,701.1046336444944
Africa,,1978,738.154264981634
Africa,,1979,787.1318891810631
Africa,,1980,832.8757351260052
Africa,,1981,886.3779957854238
Africa,,1982,930.5405334189701
Africa,,1983,962.147472387829
Africa,,1984,982.6383255427677
Africa,,1985,1004.7320649004535
Africa,,1986,989.8467066015153
Africa,,1987,1039.8894096455733
Africa,,1988,1088.3852269512852
Africa,,1989,1128.5453173801013
Africa,,1990,1146.3692701637717
Africa,,1991,1154.3057457484717
Africa,,1992,1180.9376422201722
Africa,,1993,1194.6893177106201
Africa,,1994,1222.24395185161
Africa,,1995,1264.993981294345
Africa,,1996,1296.4616668319068
Africa,,1997,1331.6214510586672
Africa,,1998,1363.8182209826205
Africa,,1999,1412.7945296846588
Africa,,2000,1420.6438330971853
Africa,,2001,1438.9694389834942
Africa,,2002,1465.1101391735822
Africa,,2003,1504.2620115889272
Africa,,2004,1575.8780873180895
Africa,,2005,1655.3264611441903
Africa,,2006,1666.699448857523
Africa,,2007,1722.4616978202423
Africa,,2008,1819.1865322494923
Africa,,2009,1885.540243447552
Africa,,2010,1979.9242628604627
Africa,,2011,1926.235447202986
Africa,,2012,2031.1044032298423
Africa,,2013,2103.6394253327385
Africa,,2014,2138.874360617806
Africa,,2015,2187.3268843389023
Africa,,2016,2206.9887234369944
Africa,,2017,2219.6990696720577
Africa,,2018,2242.7923829938045
Africa,,2019,2299.624018891888
Algeria,DZA,1965,15.405264268646002
Algeria,DZA,1966,20.272721495942
Algeria,DZA,1967,18.942046264736003
Algeria,DZA,1968,20.167317522730002
Algeria,DZA,1969,21.305947044744002
Algeria,DZA,1970,24.347700311478
Algeria,DZA,1971,27.440072229818
Algeria,DZA,1972,30.121438263798
Algeria,DZA,1973,32.900371320276
Algeria,DZA,1974,36.543870068406
Algeria,DZA,1975,40.630700004534006
Algeria,DZA,1976,46.717769874186004
Algeria,DZA,1977,52.806535856306
Algeria,DZA,1978,54.607988408578
Algeria,DZA,1979,65.318669477116
Algeria,DZA,1980,66.202482961944
Algeria,DZA,1981,71.323129836236
Algeria,DZA,1982,75.573478236512
Algeria,DZA,1983,84.89248902504801
Algeria,DZA,1984,94.002081590494
Algeria,DZA,1985,96.55388029859802
Algeria,DZA,1986,98.02133258367
Algeria,DZA,1987,99.10060316930802
Algeria,DZA,1988,99.17267794919
Algeria,DZA,1989,103.93674426044001
Algeria,DZA,1990,111.81170528262601
Algeria,DZA,1991,110.62787461334
Algeria,DZA,1992,111.29274458968001
Algeria,DZA,1993,110.75496527056802
Algeria,DZA,1994,106.05098067405001
Algeria,DZA,1995,103.142365291604
Algeria,DZA,1996,98.42215845988602
Algeria,DZA,1997,97.64349755918
Algeria,DZA,1998,100.65882858255401
Algeria,DZA,1999,98.89842495201002
Algeria,DZA,2000,103.13256222820601
Algeria,DZA,2001,106.77541930915602
Algeria,DZA,2002,118.39732444000602
Algeria,DZA,2003,123.17421659485001
Algeria,DZA,2004,128.74693327524201
Algeria,DZA,2005,134.21349227070792
Algeria,DZA,2006,139.84583262657662
Algeria,DZA,2007,156.39012158706663
Algeria,DZA,2008,169.9160323279949
Algeria,DZA,2009,180.134573551988
Algeria,DZA,2010,180.048999039084
Algeria,DZA,2011,192.22780683767797
Algeria,DZA,2012,204.39543129399203
Algeria,DZA,2013,213.576555861108
Algeria,DZA,2014,221.92533031790003
Algeria,DZA,2015,236.14867219656443
Algeria,DZA,2016,229.44122285838705
Algeria,DZA,2017,225.32249578563022
Algeria,DZA,2018,230.3539721719192
Algeria,DZA,2019,244.92717394158242
Argentina,ARG,1965,260.1395019238812
Argentina,ARG,1966,268.5650168693466
Argentina,ARG,1967,275.1868464958366
Argentina,ARG,1968,281.0077020810902
Argentina,ARG,1969,291.98198751848093
Argentina,ARG,1970,262.16001178965445
Argentina,ARG,1971,279.975333980088
Argentina,ARG,1972,280.357475952468
Argentina,ARG,1973,281.31813033210204
Argentina,ARG,1974,282.304195565398
Argentina,ARG,1975,265.94047941888
Argentina,ARG,1976,276.261924064918
Argentina,ARG,1977,291.239878547272
Argentina,ARG,1978,291.229265205448
Argentina,ARG,1979,308.04888366113204
Argentina,ARG,1980,288.258556162216
Argentina,ARG,1981,267.233926564748
Argentina,ARG,1982,256.321235334602
Argentina,ARG,1983,260.93811680588203
Argentina,ARG,1984,245.98795706798603
Argentina,ARG,1985,222.50386300294798
Argentina,ARG,1986,255.58064668657605
Argentina,ARG,1987,272.78320989306
Argentina,ARG,1988,272.029482067856
Argentina,ARG,1989,246.78985937617404
Argentina,ARG,1990,233.443276198916
Argentina,ARG,1991,240.502527957424
Argentina,ARG,1992,254.04411629068605
Argentina,ARG,1993,251.62767074642002
Argentina,ARG,1994,243.23910681335204
Argentina,ARG,1995,241.90137963206
Argentina,ARG,1996,251.42438363934605
Argentina,ARG,1997,251.72900332748603
Argentina,ARG,1998,257.29200694455204
Argentina,ARG,1999,239.565706374634
Argentina,ARG,2000,241.97685830355402
Argentina,ARG,2001,233.11448843588602
Argentina,ARG,2002,214.87363773210603
Argentina,ARG,2003,221.144069137336
Argentina,ARG,2004,232.64747056227205
Argentina,ARG,2005,247.28703446141378
Argentina,ARG,2006,259.9603576735626
Argentina,ARG,2007,288.75912540749334
Argentina,ARG,2008,296.9553909122783
Argentina,ARG,2009,290.8214023885608
Argentina,ARG,2010,326.2937358797244
Argentina,ARG,2011,326.75350590031235
Argentina,ARG,2012,339.7310856834678
Argentina,ARG,2013,364.1897225574144
Argentina,ARG,2014,357.07288163618796
Argentina,ARG,2015,367.29059908303594
Argentina,ARG,2016,359.37362698015494
Argentina,ARG,2017,349.89495284832725
Argentina,ARG,2018,334.311939612335
Argentina,ARG,2019,329.3280383377255
Asia Pacific,,1965,1896.8637620583459
Asia Pacific,,1966,2185.889382645166
Asia Pacific,,1967,2547.5895154341238
Asia Pacific,,1968,2913.3057887019054
Asia Pacific,,1969,3384.4570473629446
Asia Pacific,,1970,3935.2446006202176
Asia Pacific,,1971,4375.889016851718
Asia Pacific,,1972,4712.240496433798
Asia Pacific,,1973,5360.955722074925
Asia Pacific,,1974,5326.235439648972
Asia Pacific,,1975,5301.163185220322
Asia Pacific,,1976,5637.92853998703
Asia Pacific,,1977,5927.309629514078
Asia Pacific,,1978,6290.3810234632665
Asia Pacific,,1979,6454.759902080541
Asia Pacific,,1980,6120.766821730957
Asia Pacific,,1981,5946.557587316903
Asia Pacific,,1982,5759.956159131713
Asia Pacific,,1983,5844.769129216341
Asia Pacific,,1984,6067.43105974191
Asia Pacific,,1985,6052.280444845315
Asia Pacific,,1986,6292.259779441075
Asia Pacific,,1987,6495.954181187827
Asia Pacific,,1988,7056.1515973201795
Asia Pacific,,1989,7489.2424158677795
Asia Pacific,,1990,7912.113545459578
Asia Pacific,,1991,8254.78285711481
Asia Pacific,,1992,8812.80973090609
